Filter,N obs,N HH,Age²,Age² SE,Age,Age SE,ln(Spending),ln(Spending) SE,R² within
Without outlier filter (main),20189,4900,1.0905167918632671e-05,3.8570487212272566e-05,-0.012971066149093026,0.005606155178708738,-0.4995473169872922,0.005437195294941511,0.46379450544412437
With outlier filter (robustness),19315,4826,4.4792960903894263e-07,3.127082910457701e-05,-0.009698891950667846,0.004556418195865026,-0.4172617653613914,0.00452927921179388,0.44173670299579626
