ln_spending_def,n_specs,n_negative,n_positive,pct_negative,ln_exp_min,ln_exp_max,ln_exp_mean,ln_exp_std
baseline,12,12,0,100.0,-0.05807197467731923,-0.05506787819034374,-0.05689133431189783,0.0010800958930168307
mean,12,6,6,50.0,-0.0017610773373926622,0.0016812148794025485,-7.200914187331046e-06,0.0016953719540015295
lagged,12,12,0,100.0,-0.028187381098066663,-0.022835463231963546,-0.025146531982648945,0.0019876189317547476
current,12,0,12,0.0,0.04790159546957816,0.05044546258987512,0.04903138070177568,0.0009348482596837533
