coefficient,estimate,bootstrap_se,ci_lower,ci_upper,n_valid
Age²,4.6175497294561315e-05,8.175887218445889e-05,-8.90957232148328e-05,0.00023568167088661127,1000
Age,-0.008187435868547739,0.012062543401320918,-0.03595720838472007,0.011632568858680439,1000
ln(Spending),-0.026074902690659662,0.00676878592611185,-0.04012359551011716,-0.013356974330221452,1000
Constant,0.61449521992385,0.45016735409481134,-0.12351161988245277,1.6466111877058522,1000
Smile Minimum Age,88.65563283832873,8.572727623048758,75.32758858371758,109.88377764407629,753
