method,weighted,period,age_sq,age,ln_exp,constant,n_obs,n_households,age_sq_se,age_se,ln_exp_se
Blanchett-style (Unweighted),False,2001-2021,0.00011651000056474639,-0.017401080969970166,-0.060203486115849636,1.2774320010176754,20189,4900,,,
Blanchett-style (Weighted),True,2001-2021,6.607492337381987e-05,-0.009956259842853822,-0.06313557053029971,1.0393421106886491,20112,4888,,,
Fixed Effects (Unweighted),False,2001-2021,1.0905167918623528e-05,-0.01297106614909306,-0.4995473169872917,,20189,4900,3.8573468234225215e-05,0.005606588465216216,0.005437615522942588
Fixed Effects (Weighted),True,2001-2021,-5.6945948272406695e-05,-0.0023737660982500715,-0.5057053809115858,,20112,4888,4.217982166592308e-05,0.0061550360201881905,0.00609991730060029
Blanchett-style (Unweighted),False,2001-2009,0.0001204158474839588,-0.01843733810617036,-0.0735288058434294,1.4704908123382416,8664,3168,,,
Blanchett-style (Weighted),True,2001-2009,7.614074861729791e-05,-0.011821812590889049,-0.07720954263481297,1.264248179138202,8628,3160,,,
