Coefficient,Blanchett,This_Study,Ratio,Sign_Match
age_sq,8e-05,4.6175497294561315e-05,0.5771937161820164,True
age,-0.0125,-0.008187435868547739,0.654994869483819,True
ln_exp,-0.0066,-0.026074902690659662,3.950742831918131,True
constant,0.546,0.61449521992385,1.125449120739652,
r2_polynomial,0.33,0.13689182304470515,0.4148237061960762,
mean_change,-0.0096,-0.009243627082139546,0.9628778210562028,True
n_households,591.0,679.0,1.1489001692047378,
