weighting,ln_estimation,ln_spending_def,min_n_per_age,age_sq,age,ln_exp,ln_exp_se,ln_exp_pval,constant,r2_polynomial,r2_full,mean_change,n_households,n_observations,n_ages,age_range,smile_minimum_age
weighted,conditional,baseline,10,4.6175497294561315e-05,-0.008187435868547739,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.9531645692730951,0.13689182304470515,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,baseline,20,4.6175497294561315e-05,-0.008187435868547739,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.9531645692730951,0.13689182304470515,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,baseline,30,7.965306974005163e-05,-0.013234806737986384,-0.05634048149995527,0.004772900837331671,2.4337458573936142e-29,1.124339392118206,0.15420396847146933,0.1858840252530939,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,mean,10,4.6175497294561315e-05,-0.008187435868547739,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.3581466064057162,0.13689182304470515,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,mean,20,4.6175497294561315e-05,-0.008187435868547739,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.3581466064057162,0.13689182304470515,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,mean,30,7.965306974005163e-05,-0.013234806737986384,-0.0017610773373926622,0.006275572166944104,0.7790855512196802,0.5495194055532449,0.15420396847146933,0.016181076966839236,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,lagged,10,4.6175497294561315e-05,-0.008187435868547739,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.61449521992385,0.13689182304470515,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,lagged,20,4.6175497294561315e-05,-0.008187435868547739,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.61449521992385,0.13689182304470515,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,lagged,30,7.965306974005163e-05,-0.013234806737986384,-0.028187381098066663,0.006044024727309185,3.7524223251881775e-06,0.8259992165559011,0.15420396847146933,0.04709151914026066,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,current,10,4.6175497294561315e-05,-0.008187435868547739,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.15178724927277815,0.13689182304470515,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
